,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Karangampel,ID,-6.4622,108.4519,77.07,85,98,11.77,overcast clouds
126,Gat,IL,31.61,34.7642,49.91,100,4,11.74,clear sky
127,Voh,NC,-20.9667,164.7,81.97,63,14,3.58,few clouds
128,Dillon,US,34.4166,-79.3712,52.61,50,0,0.72,clear sky
129,Riyadh,SA,24.6877,46.7219,48.34,35,66,7.67,broken clouds
130,Avarua,CK,-21.2078,-159.775,82.45,78,40,20.71,scattered clouds
131,Pahrump,US,36.2083,-115.9839,60.51,37,50,1.01,scattered clouds
132,Bluff,NZ,-46.6,168.3333,55.8,85,100,15.01,overcast clouds
133,Totolapa,MX,18.5167,-96.1833,76.93,57,17,6.26,few clouds
134,Atuona,PF,-9.8,-139.0333,78.73,73,52,22.97,broken clouds
135,Puerto Madryn,AR,-42.7692,-65.0385,65.16,41,47,16.53,scattered clouds
136,Tomar,PT,39.602,-8.4092,48.29,69,2,2.93,clear sky
137,Beitbridge,ZW,-22.2167,30.0,75.4,56,9,5.93,clear sky
138,La Libertad,EC,-2.2333,-80.9,78.46,78,0,5.75,clear sky
139,Santa Maria,BR,-29.6842,-53.8069,91.72,38,100,13.8,overcast clouds
140,Huaiyin,CN,33.5886,119.0192,35.89,86,4,3.62,clear sky
141,Kidal,ML,18.4411,1.4078,59.54,19,0,12.84,clear sky
142,Hambantota,LK,6.1241,81.1185,75.54,100,20,9.22,few clouds
143,Sambava,MG,-14.2667,50.1667,76.93,90,100,4.34,overcast clouds
144,Muroto,JP,33.2833,134.15,28.44,59,2,7.54,clear sky
145,Lebu,CL,-37.6167,-73.65,58.98,65,73,14.99,broken clouds
146,Longyearbyen,SJ,78.2186,15.6401,13.84,73,75,26.46,broken clouds
147,Ak-Dovurak,RU,51.1833,90.6,5.18,97,100,0.43,overcast clouds
148,Denpasar,ID,-8.65,115.2167,78.46,88,40,3.44,scattered clouds
149,Shitanjing,CN,39.2342,106.3439,25.03,32,1,7.38,clear sky
150,Lichuan,CN,30.3,108.85,34.84,79,0,0.45,clear sky
151,Porto Novo,BJ,6.4965,2.6036,80.13,74,2,5.26,clear sky
152,Kodiak,US,57.79,-152.4072,36.91,87,100,9.22,light snow
153,Balakhta,RU,55.38,91.6,4.55,97,92,1.5,overcast clouds
154,Vilyuysk,RU,63.7553,121.6247,-26.0,94,11,5.14,few clouds
155,Vylkove,UA,45.4021,29.586,30.81,58,77,20.4,broken clouds
156,Kitgum,UG,3.2783,32.8867,65.98,85,98,1.66,overcast clouds
157,Coquimbo,CL,-29.9533,-71.3436,66.97,60,0,8.55,clear sky
158,Trincomalee,LK,8.5711,81.2335,79.09,68,100,16.64,overcast clouds
159,Khadyzhensk,RU,44.4256,39.5319,29.86,97,100,5.97,snow
160,Touros,BR,-5.1989,-35.4608,81.5,73,11,13.49,few clouds
161,Kupang,ID,-10.1667,123.5833,72.18,100,100,6.91,heavy intensity rain
162,Airai,TL,-8.9266,125.4092,61.14,94,100,0.85,overcast clouds
163,Mount Gambier,AU,-37.8333,140.7667,63.1,72,84,12.84,broken clouds
164,Mar Del Plata,AR,-38.0023,-57.5575,69.1,84,100,1.99,light rain
165,Kahului,US,20.8947,-156.47,79.84,80,6,4.0,clear sky
166,Rackeresztur,HU,47.2736,18.8334,32.65,81,5,6.08,clear sky
