City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,Lakatoro,VU,83.44,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
363,Kimbe,PG,78.33,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
374,Dakar,SN,74.28,clear sky,14.6937,-17.4441,Redface Studios Meublés
378,Noumea,NC,82.38,few clouds,-22.2763,166.4572,Hôtel Le Lagon
380,Daru,PG,76.32,overcast clouds,-9.0763,143.2092,Daru Lodge
383,Lhokseumawe,ID,74.19,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
384,Acapulco,MX,81.84,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
393,Sao Felix Do Xingu,BR,74.23,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
401,Panaba,MX,78.93,clear sky,21.2833,-88.2667,Hotel California
405,Panguna,PG,77.47,overcast clouds,-6.3164,155.4848,
410,Cidreira,BR,77.99,overcast clouds,-30.1811,-50.2056,Hotel Castelo
414,Tolaga Bay,NZ,78.35,clear sky,-38.3667,178.3,Tolaga Bay Motel
421,Axim,GH,79.72,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
425,Mareeba,AU,79.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
428,Ambilobe,MG,76.46,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
429,Corrente,BR,75.69,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
432,Carutapera,BR,75.88,heavy intensity rain,-1.195,-46.02,Lidera
435,Rio Grande,BR,78.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
440,Morant Bay,JM,75.65,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
441,Santa Rosalia,MX,73.31,scattered clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
446,Port Macquarie,AU,74.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
448,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
