City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Vung Tau,VN,2022-01-16 21:47:54,10.346,107.0843,74.98,81,34,12.5
88,Lukovetskiy,RU,2022-01-16 21:47:54,64.2956,41.9211,21.18,94,100,10.16
89,Krasnoselkup,RU,2022-01-16 21:47:55,65.7,82.4667,10.02,92,100,16.62
90,Roseville,US,2022-01-16 21:43:07,38.7521,-121.288,70.14,64,0,4.0
91,Manoel Urbano,BR,2022-01-16 21:47:56,-8.8389,-69.2597,82.51,77,88,2.24
92,Sawakin,SD,2022-01-16 21:44:07,19.1059,37.3321,69.76,58,24,9.75
93,Big Spring,US,2022-01-16 21:48:56,32.2504,-101.4787,71.28,11,0,5.99
94,Mogzon,RU,2022-01-16 21:48:57,51.7435,111.9606,-15.11,100,93,1.86
95,Thinadhoo,MV,2022-01-16 21:48:57,0.5333,72.9333,81.19,69,100,1.5
96,Kruisfontein,ZA,2022-01-16 21:48:58,-34.0033,24.7314,69.89,90,5,4.83
97,Lompoc,US,2022-01-16 21:48:58,34.6391,-120.4579,72.01,50,100,4.61
98,Glucholazy,PL,2022-01-16 21:48:59,50.315,17.3836,36.45,77,98,11.43
99,Chokurdakh,RU,2022-01-16 21:45:21,70.6333,147.9167,-40.9,99,88,6.64
100,Ostrovnoy,RU,2022-01-16 21:48:59,68.0531,39.5131,26.37,89,100,22.01
101,Sorong,ID,2022-01-16 21:49:00,-0.8833,131.25,75.52,88,100,4.47
102,Novo Oriente,BR,2022-01-16 21:49:00,-5.5344,-40.7742,77.79,69,83,3.13
103,Saint-Philippe,RE,2022-01-16 21:49:00,-21.3585,55.7679,78.39,87,98,6.96
104,Shelburne,CA,2022-01-16 21:49:01,44.0787,-80.2041,23.18,79,3,6.24
105,Sobolevo,RU,2022-01-16 21:49:01,54.4299,31.8996,23.95,90,79,14.43
106,Oer-Erkenschwick,DE,2022-01-16 21:49:02,51.6333,7.25,43.52,90,98,1.99
107,Mokhsogollokh,RU,2022-01-16 21:49:02,61.4681,128.9203,-38.42,100,76,2.89
108,Ushtobe,KZ,2022-01-16 21:49:03,45.2514,77.9838,42.21,55,100,4.18
109,Torbay,CA,2022-01-16 21:49:03,47.6666,-52.7314,22.57,70,40,25.32
110,Jand,PK,2022-01-16 21:49:03,33.4299,72.0193,55.45,37,100,2.91
111,Darhan,MN,2022-01-16 21:49:04,49.4867,105.9228,-8.25,93,28,4.85
112,Namibe,AO,2022-01-16 21:49:05,-15.1961,12.1522,68.56,78,56,4.9
113,Payson,US,2022-01-16 21:49:05,40.0444,-111.7321,48.51,58,0,5.75
114,Fairbanks,US,2022-01-16 21:42:27,64.8378,-147.7164,3.31,84,100,0.0
115,Iqaluit,CA,2022-01-16 21:49:06,63.7506,-68.5145,-25.31,74,75,1.99
116,Carutapera,BR,2022-01-16 21:49:06,-1.195,-46.02,77.11,88,76,6.15
117,Alora,ES,2022-01-16 21:49:07,36.8236,-4.7058,51.49,89,14,0.47
118,Fukue,JP,2022-01-16 21:49:07,32.6881,128.8419,45.68,64,91,25.39
119,Rawson,AR,2022-01-16 21:49:08,-43.3002,-65.1023,67.55,18,7,14.03
120,Husavik,IS,2022-01-16 21:49:08,66.0449,-17.3389,21.11,93,100,9.86
121,San Patricio,US,2022-01-16 21:49:08,28.017,-97.5169,68.09,14,0,7.49
122,Mandalgovi,MN,2022-01-16 21:49:09,45.7625,106.2708,7.07,60,0,11.25
123,Craig,US,2022-01-16 21:45:14,40.5153,-107.5464,37.54,58,0,3.44
124,Ahipara,NZ,2022-01-16 21:49:10,-35.1667,173.1667,72.34,61,1,11.07
125,Dikson,RU,2022-01-16 21:44:14,73.5069,80.5464,9.68,91,100,25.19
126,La Ronge,CA,2022-01-16 21:45:16,55.1001,-105.2842,8.85,85,100,3.44
127,Port Hedland,AU,2022-01-16 21:49:11,-20.3167,118.5667,82.45,78,100,12.66
128,Pueblo Nuevo,MX,2022-01-16 21:49:11,23.3833,-105.3833,66.07,30,97,7.18
129,Bela,IN,2022-01-16 21:49:12,25.9333,81.9833,45.16,53,0,3.87
130,Copoya,MX,2022-01-16 21:49:12,16.7167,-93.0833,63.16,65,69,10.07
131,Port Hawkesbury,CA,2022-01-16 21:49:13,45.6169,-61.3485,16.59,88,100,7.0
132,Tiksi,RU,2022-01-16 21:49:13,71.6872,128.8694,-24.38,98,38,6.42
133,Vangaindrano,MG,2022-01-16 21:49:13,-23.35,47.6,70.45,94,100,6.06
134,Pangnirtung,CA,2022-01-16 21:49:14,66.1451,-65.7125,-16.6,69,20,3.44
135,Dondo,MZ,2022-01-16 21:49:14,-19.6094,34.7431,81.91,83,95,6.08
136,Chuy,UY,2022-01-16 21:49:15,-33.6971,-53.4616,77.27,82,99,5.79
137,Batagay-Alyta,RU,2022-01-16 21:49:15,67.8006,130.4114,-30.8,85,31,4.07
138,Juli,PE,2022-01-16 21:49:16,-16.2167,-69.45,50.04,66,87,7.25
139,Tadine,NC,2022-01-16 21:49:16,-21.55,167.8833,79.65,67,16,12.46
140,Svidnik,SK,2022-01-16 21:50:17,49.3082,21.5703,27.18,91,100,6.71
141,Castro,BR,2022-01-16 21:50:17,-24.7911,-50.0119,65.57,96,80,4.56
142,Wuwei,CN,2022-01-16 21:50:18,37.9281,102.6414,24.87,42,0,4.81
143,Port Hardy,CA,2022-01-16 21:50:18,50.6996,-127.4199,46.76,100,100,14.97
144,Quang Ngai,VN,2022-01-16 21:50:18,15.1167,108.8,67.78,93,84,4.23
145,Borovskoy,KZ,2022-01-16 21:50:19,53.8,64.15,5.16,85,62,20.29
146,Butaritari,KI,2022-01-16 21:50:19,3.0707,172.7902,82.38,77,35,16.64
147,Humaita,BR,2022-01-16 21:50:20,-7.5061,-63.0208,77.29,91,100,1.45
148,East London,ZA,2022-01-16 21:50:20,-33.0153,27.9116,75.07,88,37,3.22
149,Codrington,AU,2022-01-16 21:50:21,-38.2667,141.9667,63.75,79,100,8.77
150,Adrar,MR,2022-01-16 21:50:21,20.5022,-10.0711,62.91,18,100,12.53
151,Bengkulu,ID,2022-01-16 21:50:21,-3.8004,102.2655,74.79,90,61,4.29
152,Buala,SB,2022-01-16 21:50:22,-8.145,159.5921,82.72,77,95,3.27
153,Sahibganj,IN,2022-01-16 21:50:22,25.25,87.65,51.6,48,0,7.38
154,Coquimbo,CL,2022-01-16 21:46:18,-29.9533,-71.3436,69.53,64,0,10.36
155,Redcliffe,AU,2022-01-16 21:50:23,-27.2307,153.0973,85.48,72,40,6.91
156,Arraial Do Cabo,BR,2022-01-16 21:50:23,-22.9661,-42.0278,78.76,73,0,16.11
157,Springbok,ZA,2022-01-16 21:49:42,-29.6643,17.8865,63.16,79,12,4.41
158,Clyde River,CA,2022-01-16 21:50:24,70.4692,-68.5914,-7.37,77,100,19.57
159,Yaan,NG,2022-01-16 21:50:24,7.3833,8.5667,86.13,16,100,0.56
160,Kodiak,US,2022-01-16 21:50:25,57.79,-152.4072,27.91,64,0,3.44
161,Kahului,US,2022-01-16 21:50:25,20.8947,-156.47,81.66,70,20,9.22
162,Kamaishi,JP,2022-01-16 21:50:26,39.2667,141.8833,34.23,72,55,11.88
163,Mbala,ZM,2022-01-16 21:50:27,-8.8402,31.3659,60.1,95,100,2.15
164,Eloy,US,2022-01-16 21:50:27,32.7559,-111.5548,77.52,15,67,2.06
165,Vestmannaeyjar,IS,2022-01-16 21:50:28,63.4427,-20.2734,45.36,89,100,19.75
166,Kapit,MY,2022-01-16 21:50:28,2.0167,112.9333,72.84,99,99,1.7
167,Henties Bay,NA,2022-01-16 21:50:29,-22.116,14.2845,68.86,86,95,8.16
168,Lakes Entrance,AU,2022-01-16 21:50:29,-37.8811,147.981,73.58,62,90,6.78
169,Asau,RO,2022-01-16 21:50:29,46.4333,26.4,24.28,62,100,7.43
170,Hvide Sande,DK,2022-01-16 21:50:30,56.0045,8.1294,44.1,83,100,36.1
171,Longyearbyen,SJ,2022-01-16 21:50:30,78.2186,15.6401,8.44,56,75,10.36
172,Bouza,NE,2022-01-16 21:50:31,14.4229,6.0428,63.7,22,0,13.67
173,North Bend,US,2022-01-16 21:50:31,43.4065,-124.2243,59.16,76,0,3.44
174,Khandyga,RU,2022-01-16 21:50:32,62.6667,135.6,-44.19,100,63,0.94
175,Solnechnyy,RU,2022-01-16 21:50:32,50.7214,136.6319,3.61,93,100,6.8
176,Cap-Chat,CA,2022-01-16 21:50:32,49.1001,-66.6821,15.8,56,57,10.36
177,Coihaique,CL,2022-01-16 21:42:29,-45.5752,-72.0662,57.81,41,40,8.05
178,Namatanai,PG,2022-01-16 21:50:34,-3.6667,152.4333,81.39,77,100,3.09
179,Huangmei,CN,2022-01-16 21:50:34,30.1924,116.025,47.89,70,100,1.74
180,Saint George,US,2022-01-16 21:48:18,37.1041,-113.5841,61.54,37,0,1.99
181,Rocha,UY,2022-01-16 21:50:26,-34.4833,-54.3333,79.11,76,72,10.04
182,Sioux Lookout,CA,2022-01-16 21:50:35,50.1001,-91.917,19.78,86,100,10.36
183,Hambantota,LK,2022-01-16 21:50:36,6.1241,81.1185,75.54,100,20,8.05
184,Jatai,BR,2022-01-16 21:51:36,-17.8814,-51.7144,75.25,72,99,5.23
185,Bud,US,2022-01-16 21:51:37,39.447,-86.1758,37.69,60,0,7.63
186,Mahebourg,MU,2022-01-16 21:51:37,-20.4081,57.7,78.26,88,75,5.75
187,Cardston,CA,2022-01-16 21:50:18,49.2,-113.3019,48.29,40,84,14.97
188,Esperance,AU,2022-01-16 21:51:38,-33.8667,121.9,60.64,68,59,12.93
189,Baiyin,CN,2022-01-16 21:51:38,36.5583,104.2081,13.08,44,41,1.25
190,Kudahuvadhoo,MV,2022-01-16 21:51:39,2.6708,72.8944,81.41,77,100,8.16
191,Hobyo,SO,2022-01-16 21:51:39,5.3505,48.5268,76.91,73,99,13.8
192,Manta,EC,2022-01-16 21:51:39,-0.95,-80.7333,78.58,78,75,8.05
193,Pointe-Noire,CG,2022-01-16 21:51:40,-4.7761,11.8635,78.87,89,75,4.61
194,Srednekolymsk,RU,2022-01-16 21:51:40,67.45,153.6833,-40.34,98,44,6.91
195,Tromso,NO,2022-01-16 21:51:41,69.6496,18.957,26.62,86,75,4.61
196,Kifri,IQ,2022-01-16 21:51:42,34.6959,44.9661,44.28,89,100,7.05
197,Sunrise Manor,US,2022-01-16 21:51:43,36.2111,-115.0731,65.21,20,0,1.01
198,Ergani,TR,2022-01-16 21:51:44,38.2653,39.7621,29.12,48,0,13.15
199,Faya,SA,2022-01-16 21:51:44,18.3851,42.4509,55.92,87,42,5.68
200,Tuatapere,NZ,2022-01-16 21:51:44,-46.1333,167.6833,68.59,51,90,6.4
201,Hilo,US,2022-01-16 21:51:38,19.7297,-155.09,80.33,71,0,9.22
202,Karratha,AU,2022-01-16 21:51:45,-20.7377,116.8463,79.93,58,12,16.96
